class_name,precision,recall,f1,support
000,0.80215,0.52850,0.63719,4526.0
607,0.76406,0.80136,0.78226,1475.0
538,0.81570,0.78490,0.80000,874.0
546,0.85366,0.20528,0.33097,341.0
588,0.97039,0.93060,0.95008,317.0
579,0.00000,0.00000,0.00000,225.0
566,1.00000,0.29730,0.45833,148.0
529,0.82143,0.59483,0.69000,116.0
536,0.75000,0.06452,0.11881,93.0
539,0.76471,0.14444,0.24299,90.0
583,0.00000,0.00000,0.00000,88.0
581,0.42105,0.09195,0.15094,87.0
649,0.00000,0.00000,0.00000,55.0
545,0.00000,0.00000,0.00000,47.0
518,0.54545,0.28571,0.37500,42.0
517,0.50000,0.12195,0.19608,41.0
521,0.66667,0.04878,0.09091,41.0
674,0.00000,0.00000,0.00000,35.0
653,0.00000,0.00000,0.00000,34.0
580,0.00000,0.00000,0.00000,32.0
564,0.00000,0.00000,0.00000,26.0
617,0.00000,0.00000,0.00000,24.0
644,0.00000,0.00000,0.00000,23.0
611,0.00000,0.00000,0.00000,19.0
634,0.00000,0.00000,0.00000,19.0
652,0.00000,0.00000,0.00000,16.0
642,0.00000,0.00000,0.00000,15.0
703,0.00000,0.00000,0.00000,15.0
610,0.00000,0.00000,0.00000,13.0
635,0.00000,0.00000,0.00000,12.0
608,0.00000,0.00000,0.00000,10.0
619,0.00000,0.00000,0.00000,9.0
609,0.00000,0.00000,0.00000,9.0
537,0.00000,0.00000,0.00000,9.0
593,0.00000,0.00000,0.00000,8.0
597,0.00000,0.00000,0.00000,8.0
618,0.00000,0.00000,0.00000,7.0
629,0.00000,0.00000,0.00000,6.0
633,0.00000,0.00000,0.00000,6.0
540,0.00000,0.00000,0.00000,6.0
636,0.00000,0.00000,0.00000,6.0
614,0.00000,0.00000,0.00000,5.0
661,0.00000,0.00000,0.00000,5.0
504,0.00000,0.00000,0.00000,5.0
604,0.00000,0.00000,0.00000,5.0
556,0.00000,0.00000,0.00000,5.0
541,0.00000,0.00000,0.00000,4.0
512,0.00000,0.00000,0.00000,4.0
527,0.00000,0.00000,0.00000,4.0
532,0.00000,0.00000,0.00000,4.0
85,0.00000,0.00000,0.00000,3.0
613,0.00000,0.00000,0.00000,3.0
560,0.00000,0.00000,0.00000,3.0
569,0.00000,0.00000,0.00000,3.0
641,0.00000,0.00000,0.00000,3.0
542,0.00000,0.00000,0.00000,3.0
516,0.00000,0.00000,0.00000,2.0
585,0.00000,0.00000,0.00000,2.0
621,0.00000,0.00000,0.00000,2.0
667,0.00000,0.00000,0.00000,2.0
668,0.00000,0.00000,0.00000,1.0
651,0.00000,0.00000,0.00000,1.0
670,0.00000,0.00000,0.00000,1.0
671,0.00000,0.00000,0.00000,1.0
677,0.00000,0.00000,0.00000,1.0
543,0.00000,0.00000,0.00000,1.0
509,0.00000,0.00000,0.00000,1.0
606,0.00000,0.00000,0.00000,1.0
601,0.00000,0.00000,0.00000,1.0
616,0.00000,0.00000,0.00000,1.0
598,0.00000,0.00000,0.00000,1.0
622,0.00000,0.00000,0.00000,1.0
625,0.00000,0.00000,0.00000,0.0
696,0.00000,0.00000,0.00000,0.0
591,0.00000,0.00000,0.00000,0.0
620,0.00000,0.00000,0.00000,0.0
663,0.00000,0.00000,0.00000,0.0
631,0.00000,0.00000,0.00000,0.0
524,0.00000,0.00000,0.00000,0.0
656,0.00000,0.00000,0.00000,0.0
655,0.00000,0.00000,0.00000,0.0
627,0.00000,0.00000,0.00000,0.0
628,0.00000,0.00000,0.00000,0.0
572,0.00000,0.00000,0.00000,0.0
630,0.00000,0.00000,0.00000,0.0
547,0.00000,0.00000,0.00000,0.0
